scheme_name,description,source
PM Kisan Samman Nidhi,Provides ₹6000 yearly income support to small and marginal farmers via Direct Benefit Transfer in three equal installments,india.gov.in
Pradhan Mantri Fasal Bima Yojana,Comprehensive crop insurance scheme protecting farmers against crop loss due to natural calamities with low premium rates,india.gov.in
Kisan Credit Card,Provides timely and adequate credit support to farmers for cultivation and other agricultural expenses at concessional interest rates,india.gov.in
Soil Health Card Scheme,Issues soil cards to farmers with crop-wise recommendations of nutrients and fertilizers required for individual farms,india.gov.in
Pradhan Mantri Krishi Sinchayee Yojana,Focuses on enhancing irrigation accessibility and water use efficiency through micro-irrigation and watershed development,india.gov.in
Mahatma Gandhi National Rural Employment Guarantee Act,Guarantees 100 days of wage employment per financial year to rural households willing to perform unskilled manual work,india.gov.in
DAY-NRLM Deendayal Antyodaya Yojana,National Rural Livelihoods Mission promoting self-employment and organization of rural poor into Self Help Groups,india.gov.in
Pradhan Mantri Gram Sadak Yojana,Provides all-weather road connectivity to unconnected habitations in rural areas to improve access to markets and services,india.gov.in
Pradhan Mantri Awas Yojana Gramin,Provides financial assistance for construction of pucca houses to rural poor including SC/ST and minority households,india.gov.in
National Food Security Mission,Aims to increase production of rice wheat and pulses through area expansion and productivity enhancement,india.gov.in
Paramparagat Krishi Vikas Yojana,Promotes organic farming through cluster approach and certification to improve soil health and organic produce,india.gov.in
National Bamboo Mission,Promotes holistic growth of bamboo sector through area expansion quality planting and market development,india.gov.in
eNAM Electronic National Agriculture Market,Pan-India electronic trading portal networking existing APMCs to create unified national market for agricultural commodities,india.gov.in
Mission for Integrated Development of Horticulture,Focuses on holistic growth of horticulture sector boosting production improving nutritional security and farmer incomes,india.gov.in
Rashtriya Krishi Vikas Yojana,Incentivizes states to increase public investment in agriculture and allied sectors with focus on farm income growth,india.gov.in
National Agriculture Market Infrastructure,Provides financial assistance for developing agricultural marketing infrastructure like warehouses cold storage and processing units,india.gov.in
Kisan Credit Card Insurance,Provides insurance coverage to KCC holders against death or permanent disability due to accidents,india.gov.in
Pradhan Mantri Matsya Sampada Yojana,Focuses on sustainable development of fisheries sector through infrastructure modernization and productivity enhancement,india.gov.in
National Livestock Mission,Aims at livestock development through breed improvement feed and fodder development and risk coverage,india.gov.in
Sub-Mission on Agricultural Mechanization,Promotes farm mechanization to increase productivity reduce drudgery and enable timeliness of farm operations,india.gov.in
Rashtriya Gokul Mission,Aims at development and conservation of indigenous bovine breeds through selective breeding and genetic improvement,india.gov.in
National Mission for Sustainable Agriculture,Promotes sustainable agriculture through climate resilient practices efficient water use and soil health management,india.gov.in
Integrated Watershed Management Programme,Focuses on holistic development of rainfed areas through watershed approach for sustainable livelihoods,india.gov.in
National Rural Drinking Water Programme,Provides adequate safe drinking water for rural population through community owned drinking water supply systems,india.gov.in
Swachh Bharat Mission Gramin,Aims to achieve universal sanitation coverage in rural areas through construction of toilets and waste management,india.gov.in
National Social Assistance Programme,Provides social security to poor households through old age pension widow pension and disability pension,india.gov.in
Pradhan Mantri Kisan Maan Dhan Yojana,Old age pension scheme for small and marginal farmers providing monthly pension of ₹3000 after 60 years,india.gov.in
Modified Interest Subvention Scheme,Provides short term crop loans to farmers at subsidized interest rate of 7% per annum with timely repayment incentive,india.gov.in
Market Intervention Scheme,Price support mechanism to protect farmers from distress sale of perishable and horticultural commodities,india.gov.in
Kisan Call Centre,Provides farmers with toll-free helpline for agricultural and allied sector queries in their local language,india.gov.in
National Mission on Edible Oils,Aims to increase domestic production of edible oils through area expansion productivity enhancement and price support,india.gov.in
Formation and Promotion of Farmer Producer Organizations,Supports formation of FPOs to enable collective farming better market access and improved bargaining power for farmers,india.gov.in
Rainfed Area Development Programme,Promotes integrated farming systems in rainfed areas through soil and water conservation and crop diversification,india.gov.in
National Agricultural Development Scheme,Provides support to states for agriculture development through flexible funding for locally relevant interventions,india.gov.in
Dairy Entrepreneurship Development Scheme,Provides capital subsidy for setting up dairy farming units milk processing and value addition projects,india.gov.in
National Programme for Dairy Development,Focuses on cooperative model dairy development through infrastructure creation and quality assurance systems,india.gov.in
Agri-Infrastructure Fund,Provides ₹1 lakh crore financing facility for agriculture infrastructure projects at farm-gate and aggregation points,india.gov.in
Pradhan Mantri Annadata Aay Sanrakshan Abhiyan,Price support mechanism combining Price Support Scheme Price Deficiency Payment and Private Procurement schemes,india.gov.in
National Project on Organic Farming,Promotes organic farming through capital investment subsidy for production of bio-fertilizers and organic inputs,india.gov.in
Namo Drone Didi Scheme,Provides drones to women Self Help Groups for agricultural services including spraying and crop monitoring,india.gov.in
Digital Agriculture Mission,Promotes digital technologies in agriculture through pilot projects in farm services and emerging tech adoption,india.gov.in
Krishi Vigyan Kendra,Provides skill development and capacity building to farmers through hands-on training on improved agricultural practices,india.gov.in
Sub-Mission on Agroforestry,Promotes agroforestry to diversify farm income improve soil health and provide timber fodder and fuel wood,india.gov.in
National Horticulture Mission,Promotes holistic growth of horticulture sector through enhanced production quality improvement and market linkages,india.gov.in
Crop Diversification Programme,Encourages farmers to shift from water intensive crops to less water intensive alternative crops,india.gov.in
National Agriculture Higher Education Project,Strengthens higher agricultural education system through institutional development and faculty improvement,india.gov.in
Rashtriya Kamdhenu Aayog,Promotes conservation protection and development of indigenous cows and their progeny,india.gov.in
Per Drop More Crop Component,Promotes micro irrigation and efficient water use technologies to enhance water productivity in agriculture,india.gov.in
National Beekeeping and Honey Mission,Promotes beekeeping through infrastructure support skill development and market linkages for honey production,india.gov.in
National Mission on Natural Farming,Promotes chemical-free natural farming through traditional indigenous practices for sustainable agriculture,india.gov.in